id,title,filtered_words,label
R129,New Report on Election,"['new', 'report', 'election', 'attorney', 'look', 'style.', 'finish', 'network', 'yes', 'bill', 'economic', 'across', 'visit', 'provide.', 'also', 'republican', 'accept', 'arm.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
R227,New Report on Climate Change,"['new', 'report', 'climate', 'change', 'heart', 'eat', 'laugh', 'fill', 'character', 'laugh.', 'blue', 'evening', 'work', 'stuff', 'including.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F231,Aliens Confirmed by Sources,"['aliens', 'confirmed', 'sources', 'current', 'give', 'sing', 'sing', 'house', 'answer.', 'front', 'believe', 'hope.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
R066,New Report on Policy,"['new', 'report', 'policy', 'possible', 'food', 'others', 'customer.', 'stuff', 'institution', 'list', 'end', 'democratic.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
F095,Mind Control Confirmed by Sources,"['mind', 'control', 'confirmed', 'sources', 'value', 'walk', 'management', 'rock', 'sure.', 'ground', 'whom.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']",FAKE
R174,New Report on Policy,"['new', 'report', 'policy', 'particular', 'anyone', 'standard', 'group', 'police.', 'skill', 'still', 'smile', 'behavior.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
R201,New Report on Public Health,"['new', 'report', 'public', 'health', 'kind', 'although', 'able', 'hope.', 'relationship', 'cold', 'last', 'newspaper', 'respond', 'soldier', 'know', 'west.', 'car', 'sometimes', 'baby', 'pull', 'policy', 'door', 'head', 'according.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']",REAL
R072,New Report on Education,"['new', 'report', 'education', 'color', 'business', 'address', 'someone', 'civil.', 'anything', 'ever', 'language', 'expert.', 'congress', 'leave', 'process', 'language', 'painting', 'structure.', 'contain', 'check', 'case', 'ready', 'crime', 'much', 'report.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']",REAL
R064,New Report on Research,"['new', 'report', 'research', 'phone', 'phone', 'serious', 'financial', 'find.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']",REAL
F037,Miracle Drug Confirmed by Sources,"['miracle', 'drug', 'confirmed', 'sources', 'idea', 'suddenly', 'full', 'establish', 'son', 'clear', 'writer', 'above.', 'son', 'central', 'also', 'situation.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
R170,New Report on Technology Breakthrough,"['new', 'report', 'technology', 'breakthrough', 'price', 'reveal', 'development.', 'throughout', 'way', 'couple', 'interesting.', 'civil', 'store', 'sure.', 'experts', 'discuss', 'ongoing', 'developments', 'technology', 'breakthrough.']",REAL
F110,Celebrity Scandal Confirmed by Sources,"['celebrity', 'scandal', 'confirmed', 'sources', 'computer', 'protect', 'role', 'fire', 'result', 'while.', 'investment', 'give', 'friend', 'important', 'chair.', 'program', 'create', 'article', 'get', 'owner', 'hard.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']",FAKE
F048,Secret Cure Confirmed by Sources,"['secret', 'cure', 'confirmed', 'sources', 'decision', 'scientist.', 'common', 'majority', 'yourself.', 'camera', 'check', 'crime', 'really', 'know', 'firm.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
F082,Hoax Confirmed by Sources,"['hoax', 'confirmed', 'sources', 'better', 'discover', 'young', 'news', 'require.', 'standard', 'early', 'health', 'teacher', 'fire', 'when.', 'feeling', 'draw', 'surface', 'loss.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F187,Miracle Drug Confirmed by Sources,"['miracle', 'drug', 'confirmed', 'sources', 'trial', 'new', 'their.', 'tough', 'someone', 'quite.', 'bank', 'soon.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
F027,Miracle Drug Confirmed by Sources,"['miracle', 'drug', 'confirmed', 'sources', 'figure', 'wide', 'ground.', 'employee', 'open', 'peace', 'analysis', 'stand', 'carry', 'common.', 'morning', 'congress', 'take', 'citizen', 'whether', 'born', 'campaign.', 'someone', 'born', 'onto', 'bed', 'move', 'measure', 'surface.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
F202,Hoax Confirmed by Sources,"['hoax', 'confirmed', 'sources', 'find', 'bit', 'wind', 'anyone.', 'according', 'fight', 'past', 'many', 'meet.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F197,Secret Cure Confirmed by Sources,"['secret', 'cure', 'confirmed', 'sources', 'outside', 'congress', 'marriage', 'fight', 'million', 'international.', 'mention', 'product', 'language', 'win', 'seven.', 'special', 'attorney', 'success', 'issue', 'nation', 'one.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
R128,New Report on Climate Change,"['new', 'report', 'climate', 'change', 'term', 'adult.', 'collection', 'worry', 'hit', 'police', 'firm', 'beautiful.', 'game', 'perhaps', 'not.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F157,Government Cover-Up Confirmed by Sources,"['government', 'cover-up', 'confirmed', 'sources', 'apply', 'say', 'wait', 'page.', 'mother', 'use', 'response', 'hospital', 'nice.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']",FAKE
F117,Hoax Confirmed by Sources,"['hoax', 'confirmed', 'sources', 'firm', 'business', 'personal', 'your.', 'fine', 'still', 'sell.', 'record', 'popular', 'fire', 'whose', 'represent', 'fact.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
